artist,name,category,position,score,from,to,us,uk,de,fr,ca,au
"U2","You're The Best Thing About Me","song",""," 508.037","Sep 2017","Mar 2018","","92","","24","","",""
"U2","Zoo TV - Live From Sydney [DVD]","album",""," 351.842","Sep 2006","Nov 2006","","","32","","","",""
"U2","Zooropa","album","","  70.822","Mar 2001","Mar 2001","","93","","","","",""
"U2 & BB King","When Love Comes To Town","song","","   4.246","May 2015","May 2015","","","","200","","",""
"U2 & Green Day","The Saints Are Coming","song","","3789.132","Nov 2006","Mar 2007","51","2","6","44","","1",""
"U2 & Kendrick Lamar","Get Out Of Your Own Way","song","","  33.398","Nov 2017","Dec 2017","","","","89","","",""
"Udo Lindenberg","75 Jahre Panik","album",""," 275.174","May 2021","May 2021","","","7","","","",""
"Udo Lindenberg","Absolut","album",""," 134.689","Jan 2005","Jan 2005","","","65","","","",""
"Udo Lindenberg","Atlantic Affairs","album","","  67.173","Jun 2002","Jun 2002","","","76","","","",""
"Udo Lindenberg","Balladen","album","","  59.748","Jun 2001","Jun 2001","","","91","","","",""
"Udo Lindenberg","Das Vermachtnis der Nachtigall 1983-1998","album","","  77.148","Dec 2018","Dec 2018","","","51","","","",""
"Udo Lindenberg","Der Exzessor","album",""," 255.339","Jun 2000","Jun 2000","","","40","","","",""
"Udo Lindenberg","Durch die schweren Zeiten","song",""," 392.027","Mar 2016","Jun 2016","","","26","","","",""
"Udo Lindenberg","Hallo Angie, das merkel ich mir","song","","  26.252","Oct 2005","Oct 2005","","","100","","","",""
"Udo Lindenberg","Lindenberg! Mach Dein Ding","album",""," 255.223","Jan 2020","Feb 2020","","","29","","","",""
"Udo Lindenberg","MTV Unplugged - Live aus dem Hotel Atlantic","album","1314","14142.669","Sep 2011","Mar 2019","","","1","","","",""
"Udo Lindenberg","MTV Unplugged 2 - Live vom Atlantik","album","","8745.194","Dec 2018","Jun 2021","","","1","","","",""
"Udo Lindenberg","Nimm Dir das Leben und lass es nicht mehr los","song","","  64.792","Nov 2012","Dec 2012","","","45","","","",""
"Udo Lindenberg","Original Album Classics","album","","  49.710","Mar 2017","Mar 2017","","","87","","","",""
"Udo Lindenberg","Original Album Series","album",""," 126.123","Sep 2011","Apr 2012","","","78","","","",""
"Udo Lindenberg","Panikprasident","album",""," 438.327","Oct 2003","Dec 2003","","","18","","","",""
"Udo Lindenberg","Stark wie zwei","album","1410","13376.913","Apr 2008","Jun 2016","","","1","","","",""
"Udo Lindenberg","Starker als die Zeit","album","1756","11020.230","May 2016","May 2018","","","1","","","",""
"Udo Lindenberg","Starker als die Zeit","song","","  21.890","May 2016","May 2016","","","90","","","",""
"Udo Lindenberg","Udopium - Das Beste","album","","1406.900","May 2021","Jun 2021","","","2","","","",""
"Udo Lindenberg","Was hat die Zeit mit uns gemacht?","song",""," 234.383","Oct 2008","Nov 2008","","","52","","","",""
"Udo Lindenberg","Wenn du durchhangst","song",""," 859.753","Apr 2008","Oct 2008","","","10","","","",""
"Udo Lindenberg","Wir ziehen in den Frieden (MTV Unplugged 2)","song","","  29.865","Nov 2018","Nov 2018","","","77","","","",""
"Udo Lindenberg & Clueso","Cello (MTV Unplugged)","song","","1572.790","Nov 2011","Jun 2012","","","4","","","",""
"Udo Lindenberg & das Panikorchester","Ich mach mein Ding - Die Show","album","","2218.286","Apr 2013","Jun 2016","","","3","","","",""
"Udo Lindenberg & das Panikorchester","Ich schwore: Das volle Programm","album","","  65.928","Jan 2001","Feb 2001","","","80","","","",""
"Udo Lindenberg & Inga Humpe","Ein Herz kann man nicht reparieren (MTV Unplugged)","song",""," 610.954","Sep 2011","Feb 2012","","","11","","","",""
"Udo Lindenberg & Jan Delay","Ganz anders","song",""," 498.844","Jun 2008","Nov 2008","","","28","","","",""
"Udo Lindenberg & Jan Delay","Reeperbahn 2011 (What It's Like) (MTV Unplugged)","song",""," 205.861","Mar 2012","May 2012","","","37","","","",""
"Ufo361 & Capital Bra","POWER","song",""," 346.824","Mar 2018","May 2018","","","7","","","",""
"Ufo361 & Future","Big Drip","song",""," 469.882","Jan 2020","May 2020","","","2","","","",""
"Ufo361 & Gunna","On Time","song",""," 267.096","Jul 2019","Aug 2019","","","10","","","",""
"Ufo361 & Sido","110","song","","  22.173","May 2017","May 2017","","","100","","","",""
"UGK & OutKast","Int'l Players Anthem (I Choose You)","song","","1116.469","Aug 2007","Oct 2007","70","","","","","",""
"Uncle Kracker","Double Wide","album","582","27483.087","Jul 2000","Jan 2002","7","40","3","","","15",""
"Uncle Kracker","Follow Me","song","163","17720.823","Mar 2001","Sep 2012","5","3","1","91","","1",""
"Uncle Kracker","Happy Hour: The South River Road Sessions (EP)","album","","1766.856","Oct 2009","Oct 2010","38","","","","","",""
"Uncle Kracker","In A Little While","song","","4056.375","Sep 2002","Mar 2003","59","","72","","","",""
"Uncle Kracker","No Stranger To Shame","album","1776","10814.370","Oct 2002","Nov 2003","43","","92","","","",""
"Uncle Kracker","Seventy Two And Sunny","album","","2262.212","Jul 2004","Sep 2004","39","","","","","",""
"Uncle Kracker","Smile","song","","3142.091","Aug 2009","Oct 2010","31","","47","","44","3",""
"Uncle Kracker","Yeah, Yeah, Yeah","song",""," 190.722","Sep 2001","Dec 2001","","","70","","","23",""
"Uncle Kracker & Dobie Gray","Drift Away","song","456","12129.527","Mar 2003","Nov 2003","9","","","","","",""
"Unheilig","Alles hat seine Zeit - Best Of Unheilig 1999-2014","album","","5661.921","Mar 2014","Jan 2016","","","2","","","",""
"Unheilig","Als war's das erste Mal","song",""," 254.756","Mar 2014","May 2014","","","10","","","",""
"Unheilig","An deiner Seite","song",""," 737.830","Nov 2008","Aug 2010","","","49","","","",""
"Unheilig","Best Of Vol. 2  Rares Gold","album",""," 175.527","Oct 2017","Oct 2017","","","2","","","",""
"Unheilig","Best Of Vol. 2 - Rares Gold","album","","1167.147","Oct 2017","Jan 2018","","","2","","","",""
"Unheilig","Frohes Fest","album",""," 275.167","Dec 2010","Jan 2011","","","57","","","",""
"Unheilig","Fur immer","song",""," 843.347","Jun 2010","Jan 2011","","","17","","","",""
"Unheilig","Geboren um zu leben","song","1261","6640.402","Feb 2010","Apr 2013","","","2","","","",""
"Unheilig","Gipfelsturmer","album","","6467.727","Dec 2014","Jan 2016","","","1","","","",""
"Unheilig","Grosse Freiheit","album","585","27202.815","Mar 2010","Mar 2013","","","1","","","",""
"Unheilig","Kopfkino [DVD]","album","","  43.691","Mar 2011","Mar 2011","","","75","","","",""
"Unheilig","Lichter der Stadt","album","1573","12060.830","Mar 2012","Apr 2014","","","1","","","",""
"Unheilig","Lichter der Stadt","song",""," 325.017","Mar 2012","Jul 2012","","","31","","","",""
"Unheilig","Moderne Zeiten","album","","  65.191","Feb 2006","Feb 2006","","","76","","","",""
"Unheilig","MTV Unplugged - Unter Dampf - ohne Strom","album","","2798.616","Dec 2015","Jan 2017","","","2","","","",""
"Unheilig","Puppenspiel","album",""," 247.300","Mar 2008","Mar 2008","","","13","","","",""
"Unheilig","Puppenspiel Live Vorhang auf!","album","","2367.947","Oct 2008","Feb 2011","","","29","","","",""
"Unheilig","Schattenland","album",""," 333.853","Dec 2020","Feb 2021","","","12","","","",""
"Unheilig","Schwarzes Gold 2000-2014","album","","  63.881","Nov 2015","Nov 2015","","","45","","","",""
"Unheilig","So wie du warst","song",""," 846.593","Mar 2012","Jul 2012","","","2","","","",""
"Unheilig","Stark","song",""," 128.664","Nov 2012","Jan 2013","","","23","","","",""
"Unheilig","Unter deiner Flagge","song",""," 905.419","Oct 2010","Mar 2011","","","9","","","",""
"Unheilig","Von Mensch zu Mensch","album","","3644.848","Nov 2016","Apr 2017","","","1","","","",""
"Unheilig","Winter","song","","1544.236","Dec 2010","Apr 2011","","","4","","","",""
"Unheilig","Wir sind alle wie eins","song","","  82.824","Mar 2014","Apr 2014","","","29","","","",""
"Unheilig","Zeit zu gehen","song",""," 531.678","Nov 2014","Feb 2015","","","6","","","",""
"Unheilig & Andreas Bourani","Wie wir waren","song",""," 177.443","Sep 2012","Nov 2012","","","32","","","",""
"Unk","Walk It Out","song","840","8672.026","Sep 2006","Jun 2007","10","","","","","",""
"Usher","8701","album","145","60884.211","Jul 2001","Apr 2005","4","1","7","14","1","7",""
"Usher","Burn","song","106","19672.678","Mar 2004","Oct 2004","1","1","11","29","","2",""
"Usher","Caught Up","song","599","10444.170","Dec 2004","Jun 2005","8","9","26","","","15",""
"Usher","Climax","song","","2622.715","Mar 2012","Jul 2012","17","4","","","","29",""
"Usher","Confessions","album","24","107535.894","Mar 2004","Apr 2021","1","1","2","4","1","2",""
"Usher","Confessions Part II","song","275","14678.922","May 2004","Feb 2005","1","5","","43","","5",""
"Usher","Crash","song",""," 456.942","Jun 2016","Oct 2016","","63","","84","","10",""
"Usher","Good Kisser","song","","1639.900","May 2014","Oct 2014","65","10","","133","","44",""
"Usher","Hard II Love","album","","3038.348","Sep 2016","Feb 2017","5","7","55","69","20","5",""
"Usher","Here I Stand","album","1160","15763.104","May 2008","Jul 2009","1","1","10","7","1","1",""
"Usher","Hey Daddy (Daddy's Home)","song","","1733.392","Jan 2010","Jun 2010","24","","","","","",""
"Usher","Hot Tottie","song","","1400.806","Aug 2010","Dec 2010","21","","","","","",""
"Usher","I Don't Mind","song","","4000.829","Dec 2014","Jul 2015","11","8","","99","","",""
"Usher","Lemme See","song","","1700.758","May 2012","Oct 2012","46","90","","88","","",""
"Usher","Lil Freak","song","","1150.539","Mar 2010","Jul 2010","40","","","","","",""
"Usher","Looking 4 Myself","album","","7491.242","Jun 2012","Jun 2013","1","3","8","20","7","3",""
"Usher","Love In This Club (Part II)","song","","1754.827","May 2008","Aug 2008","18","","","","","",""
"Usher","More","song","1508","5893.600","Apr 2010","Dec 2011","15","23","7","14","1","7",""
"Usher","Moving Mountains","song","","1944.053","Jun 2008","Oct 2008","67","25","28","","","36",""
"Usher","Numb","song",""," 928.555","Sep 2012","Jan 2013","69","","24","179","41","39",""
"Usher","Papers","song","","1305.029","Oct 2009","Feb 2010","31","","","","","",""
"Usher","Pop Ya Collar","song","","3282.591","Nov 2000","Jun 2001","60","2","30","","","25",""
"Usher","Raymond V Raymond","album","1335","14064.343","Apr 2010","May 2011","1","2","47","32","4","2",""
"Usher","Scream","song","1630","5551.254","May 2012","Feb 2013","9","5","17","29","4","11",""
"Usher","She Came To Give It To You","song",""," 992.567","Jul 2014","Feb 2015","89","16","30","38","","32",""
"Usher","There Goes My Baby","song","","1887.747","Mar 2010","Sep 2010","25","","","","","",""
"Usher","Trading Places","song","","1486.146","Nov 2008","Mar 2009","45","","","","","",""
"Usher","U Don't Have To Call","song","488","11765.104","Feb 2002","Oct 2002","3","","","72","","",""
"Usher","U Got It Bad","song","78","20779.001","Sep 2001","Jun 2002","1","5","26","18","","3",""
"Usher","U Remind Me","song","181","17220.364","Jun 2001","Mar 2002","1","3","21","3","","4",""
"Usher","U-Turn","song",""," 970.448","Apr 2002","Jul 2002","","16","51","","","7",""
"Usher","Versus","album","","4457.458","Sep 2010","May 2011","4","","35","26","12","",""
"Usher & Alicia Keys","My Boo","song","212","16189.796","Sep 2004","Jun 2005","1","","4","19","","",""
"Usher & Michelle Chamuel","One","song","","  59.048","Jul 2013","Jul 2013","98","","","","","",""
"Usher & Pitbull","DJ Got Us Fallin' In Love","song","687","9703.629","Jul 2010","Jul 2011","4","7","5","3","2","3",""
"Usher & will.i.am","OMG","song","1034","7560.157","Mar 2010","Feb 2011","1","1","27","69","2","1",""
"Usher & Young Jeezy","Love In This Club","song","560","10808.578","Mar 2008","Jul 2010","1","4","5","9","6","8",""
"Usher & Young Thug","No Limit","song","","2319.704","Jul 2016","Dec 2016","32","","","","","",""
"Usher & Zaytoven","'A'","album",""," 431.334","Oct 2018","Nov 2018","31","","","","","",""
"Usher, Lil' Jon & Ludacris","Yeah!","song","9","30234.491","Jan 2004","Jun 2013","1","1","1","1","","1",""
"Vald & Damso","Vitrine","song","","  33.970","Jan 2017","Apr 2017","","","","71","","",""
"Valee & Jeremih","Womp Womp","song","","  13.143","Jun 2019","Jun 2019","","","","","98","",""
"Vampire Weekend","A-Punk","song",""," 700.229","Feb 2008","Feb 2009","","55","","","","",""
"Vampire Weekend","Contra","album","","8150.419","Jan 2010","Feb 2011","1","3","15","15","1","2",""
"Vampire Weekend","Cousins","song","","  83.521","Jan 2010","Feb 2010","","39","","","","",""
"Vampire Weekend","Diane Young","song",""," 108.652","Apr 2013","Jun 2013","","50","","","","",""
"Vampire Weekend","Father Of The Bride","album","","3775.984","May 2019","Jul 2019","1","2","21","38","6","8",""
"Vampire Weekend","iTunes Session (EP)","album","","  60.583","Jan 2011","Jan 2011","171","","","","","",""
"Vampire Weekend","Modern Vampires Of The City","album","","9656.647","May 2013","Aug 2014","1","3","21","18","2","7",""
"Vampire Weekend","Oxford Comma","song",""," 477.943","May 2008","Jul 2008","","38","","","","",""
"Vampire Weekend","Step","song","","   6.496","May 2013","May 2013","","","","170","","",""
"Vampire Weekend","This Life","song","","  27.951","May 2019","May 2019","","89","","","","",""
"Vampire Weekend","Vampire Weekend","album","1510","12475.635","Feb 2008","Feb 2010","17","15","85","81","","37",""
"Vampire Weekend","White Sky","song",""," 104.055","Aug 2010","Jan 2011","","78","","60","","",""
"Van Halen","The Best Of Both Worlds","album","1970","9919.032","Jul 2004","Oct 2020","3","15","28","","2","31",""
"Van Morrison","Astral Weeks","album","","  62.466","Nov 2015","Nov 2015","","55","","","","",""
"Van Morrison","Astral Weeks: Live At The Hollywood Bowl","album","","1801.531","Feb 2009","May 2009","33","61","45","","","",""
"Van Morrison","At The Movies - Soundtrack Hits","album","","4660.399","Feb 2007","Jul 2007","35","17","63","","","29",""
"Van Morrison","Born To Sing: No Plan B","album","","1853.673","Oct 2012","Dec 2012","10","15","15","148","15","",""
"Van Morrison","Brown Eyed Girl","song",""," 104.942","May 2013","Jun 2013","","60","","","","",""
"Van Morrison","Down The Road","album","","6973.244","May 2002","Sep 2002","25","6","10","","","7",""
"Van Morrison","Duets: Re-Working The Catalogue","album","","2392.977","Mar 2015","Oct 2015","23","5","11","","13","10",""
"Van Morrison","Hey Mister DJ","song",""," 114.715","May 2002","Jun 2002","","58","","","","",""
"Van Morrison","In Concert [DVD]","album","","  77.148","Feb 2018","Mar 2018","","","51","","","",""
"Van Morrison","It's Too Late To Stop Now - Vols 1 2 3 & 4","album",""," 385.673","Jun 2016","Jul 2016","118","47","28","","","",""
"Van Morrison","Keep It Simple","album","","3579.853","Mar 2008","Aug 2008","10","10","12","","10","43",""
"Van Morrison","Keep Me Singing","album","","2750.546","Oct 2016","Aug 2018","9","4","6","141","18","11",""
"Van Morrison","Latest Record Project - Vol 1","album",""," 268.782","May 2021","May 2021","","5","","","","",""
"Van Morrison","Latest Record Project - Volume 1","album",""," 711.289","May 2021","Jun 2021","","","3","","","41",""
"Van Morrison","Latest Record Project, Volume 1","album",""," 100.032","May 2021","May 2021","182","","","","","",""
"Van Morrison","Magic Time","album","","7549.810","May 2005","Sep 2005","25","3","12","198","","15",""
"Van Morrison","Moondance","album",""," 343.373","Oct 2013","Jul 2016","68","75","56","","","",""
"Van Morrison","Pay The Devil","album","","4528.805","Mar 2006","Jun 2006","26","8","21","","","",""
"Van Morrison","Roll With The Punches","album","","1829.856","Sep 2017","Jan 2019","23","4","5","88","26","11",""
"Van Morrison","Still On Top - The Greatest Hits","album","","6021.405","Oct 2007","Apr 2009","48","2","","","","15",""
"Van Morrison","The Best Of","album",""," 724.973","Apr 2000","Jun 2001","","72","","","","43",""
"Van Morrison","The Best Of Van Morrison Volume 3","album",""," 516.941","Jun 2007","Jul 2007","149","23","","","","",""
"Van Morrison","The Essential Van Morrison","album",""," 415.317","Sep 2015","May 2017","101","33","","","","23",""
"Van Morrison","The Healing Game","album",""," 309.873","Feb 2009","May 2019","","","12","","","",""
"Van Morrison","The Healing Game [Deluxe Edition]","album","","  13.186","Mar 2019","Apr 2019","","","","","","",""
"Van Morrison","The Prophet Speaks","album",""," 646.092","Dec 2018","Feb 2019","110","40","22","","98","49",""
"Van Morrison","Three Chords & The Truth","album","","1172.388","Oct 2019","Mar 2020","57","","11","170","","11",""
"Van Morrison","Three Chords And The Truth","album",""," 291.231","Nov 2019","Nov 2019","","13","","","","",""
"Van Morrison","Versatile","album",""," 700.140","Dec 2017","Aug 2018","119","38","35","","","31",""
"Van Morrison","What's Wrong With This Picture?","album","","4296.739","Oct 2003","Feb 2004","32","43","13","","","37",""
"Van Morrison & Joey DeFrancesco","You're Driving Me Crazy","album",""," 988.844","May 2018","Sep 2018","76","20","10","","100","",""
"Van Morrison & Linda Gail Lewis","Let's Talk About Us","song","","  41.873","Sep 2000","Sep 2000","","85","","","","",""
"Van Morrison & Linda Gail Lewis","You Win Again","album","","1051.085","Oct 2000","Nov 2000","161","34","47","","","",""
"Van Morrison, Lonnie Donegan & Chris Barber","The Skiffle Sessions - Live In Belfast","album",""," 157.275","Feb 2000","Mar 2000","","","80","","","",""
"Vance Joy","Dream Your Life Away","album","1546","12269.391","Sep 2014","Oct 2018","17","20","","","2","1",""
"Vance Joy","Fire And The Flood","song",""," 327.846","Aug 2015","Feb 2016","","","","","","6",""
"Vance Joy","Georgia","song",""," 177.453","Mar 2015","Jun 2015","","","","","","15",""
"Vance Joy","Lay It On Me","song",""," 292.333","Jul 2017","Mar 2018","","","","","","18",""
"Vance Joy","Mess Is Mine","song","","  69.100","Jul 2014","Sep 2014","","","","","","33",""
"Vance Joy","Missing Piece","song","","  63.901","Jun 2021","Jun 2021","","","","","","29",""
"Vance Joy","Nation Of Two","album","","2551.523","Mar 2018","Mar 2019","10","32","","","2","1",""
"Vance Joy","Riptide","song","646","10078.069","Jun 2013","Sep 2016","30","10","9","65","13","6",""
"Vance Joy","Saturday Sun","song","","  10.789","Jun 2018","Jun 2018","","","","","","47",""
"Vance Joy","Wasted Time","song","","  15.573","Sep 2014","Sep 2014","","","","","50","43",""
"Vance Joy","We're Going Home.","song",""," 147.316","Feb 2018","May 2018","","","","","","16",""
"Vanessa Carlton","A Thousand Miles","song","57","21696.753","Mar 2002","Apr 2015","5","6","14","8","","1",""
"Vanessa Carlton","Be Not Nobody","album","473","31301.584","May 2002","Sep 2003","5","7","7","17","","13",""
"Vanessa Carlton","Harmonium","album","","1831.028","Nov 2004","Jan 2005","33","","","","","",""
"Vanessa Carlton","Heroes & Thieves","album",""," 692.036","Oct 2007","Nov 2007","44","","","","","",""
"Vanessa Carlton","Ordinary Day","song","","4743.659","Aug 2002","Dec 2002","30","53","","","","48",""
"Vanessa Carlton","Pretty Baby","song","","  55.175","Feb 2003","Mar 2003","","94","","","","",""
"Vanessa Carlton","Rabbits On The Run","album",""," 160.556","Aug 2011","Aug 2011","62","","","","","",""
"Vanessa Carlton","White Houses","song",""," 974.960","Oct 2004","Nov 2004","86","","","","","",""
"Vanessa da Mata & Ben Harper","Boa sorte (Good Luck)","song","","  97.898","Nov 2008","Nov 2017","","","","48","","",""
"Various Artists","Disneymania: Superstar Artists Sing Disney ...Their Way!","album","1744","11053.900","Oct 2002","Aug 2003","52","","","","","",""
"Various Artists","Dreamville & J. Cole: Revenge Of The Dreamers III","album","646","25293.339","Jul 2019","Jun 2021","1","","","","1","",""
"Various Artists","God Bless America","album","1954","10057.958","Nov 2001","Oct 2002","1","","","","","",""
"Various Artists","Goin' South","album","1606","11900.013","Feb 2001","Sep 2001","28","","","","","",""
"Various Artists","Grammy Nominees 2000","album","1597","11890.666","Feb 2000","Jul 2000","9","","","","1","",""
"Various Artists","Now 10","album","980","18151.738","Aug 2002","Feb 2003","2","","","","","",""
"Various Artists","Now 11","album","1182","15483.814","Dec 2002","Jun 2003","2","","","","","",""
"Various Artists","Now 12","album","1164","15800.120","Apr 2003","Oct 2003","3","","","","","",""
"Various Artists","Now 13","album","1474","12996.800","Aug 2003","Jan 2004","2","","","","","",""
"Various Artists","Now 14","album","772","22398.549","Nov 2003","Jul 2004","3","","","","","",""
"Various Artists","Now 15","album","876","20205.738","Apr 2004","Nov 2004","2","","","","","",""
"Various Artists","Now 16","album","745","22779.324","Aug 2004","Nov 2010","1","","","","3","",""
"Various Artists","Now 17","album","829","21176.874","Nov 2004","Jul 2005","1","","","","","",""
"Various Artists","Now 18","album","1206","15320.988","Apr 2005","Oct 2005","2","","","","","",""
"Various Artists","Now 19","album","901","19512.550","Aug 2005","Mar 2006","1","","","","","",""
"Various Artists","Now 20","album","1009","17696.347","Nov 2005","Jul 2006","1","","","","","",""
"Various Artists","NOW 21","album","1146","16024.523","Apr 2006","Nov 2006","2","","","","","",""
"Various Artists","NOW 22","album","1247","14791.534","Jul 2006","Feb 2007","1","","","","","",""
"Various Artists","NOW 23","album","1267","14491.479","Nov 2006","Jun 2007","1","","","","","",""
"Various Artists","NOW 24","album","1714","11291.026","Apr 2007","Oct 2007","1","","","","","",""
"Various Artists","NOW 25","album","1647","11607.161","Aug 2007","Feb 2008","1","","","","","",""
"Various Artists","NOW 26","album","1644","11513.213","Dec 2007","Jul 2008","3","","","","","",""
"Various Artists","NOW 28","album","1895","10274.470","Jun 2008","Feb 2009","2","","","","","",""
"Various Artists","Now 3","album","775","22419.111","Jan 2000","Sep 2000","4","","","","","",""
"Various Artists","Now 4","album","573","27686.857","Aug 2000","Aug 2001","1","","","","","",""
"Various Artists","Now 5","album","519","29120.206","Dec 2000","Sep 2001","2","","","","","",""
"Various Artists","Now 6","album","581","27456.687","Apr 2001","Jan 2002","1","","","","","",""
"Various Artists","Now 7","album","664","24894.269","Aug 2001","Apr 2002","1","","","","","",""
"Various Artists","Now 8","album","798","21735.851","Dec 2001","Aug 2002","2","","","","","",""
"Various Artists","Now 9","album","691","23899.499","Apr 2002","Jan 2003","1","","","","","",""
"Various Artists","Now That's What I Call Christmas!","album","1927","10085.541","Nov 2001","Jan 2012","3","","","","","",""
"Various Artists","Quality Control: Control The Streets, Volume 2","album","1282","14498.500","Aug 2019","Oct 2020","3","","","","5","",""
"Various Artists","Ryde Or Die Vol. II","album","1508","12523.982","Jul 2000","Nov 2000","2","","","","3","",""
"Various Artists","Songs 4 Worship -- Shout To The Lord","album","577","27550.107","Mar 2001","Nov 2002","51","","","","","",""
"Various Artists","The Family Values Tour 1999","album","1426","13358.367","Jun 2000","Jun 2001","32","","","","","",""
"Various Artists","Totally Country, Vol. 4","album","1489","12691.385","Feb 2005","Oct 2005","5","","","","","",""
"Various Artists","Totally Hits","album","1212","15216.458","Jan 2000","Aug 2000","24","","","","","",""
"Various Artists","Totally Hits 2","album","1703","11271.016","Jun 2000","Oct 2000","13","","","","","",""
"Various Artists","Totally Hits 2001","album","1047","17246.223","Oct 2001","Apr 2002","3","","","","","",""
"Various Artists","Totally Hits 2002","album","1363","13851.013","Jun 2002","Nov 2002","2","","","","","",""
"Various Artists","Worship Together:i Could Sing Of Your Love Forever","album","974","18170.809","Feb 2003","May 2004","39","","","","","",""
"Various Artists","WOW Hits 2003","album","1963","9981.817","Oct 2002","May 2003","34","","","","","",""
"Vegedream & Dadju","Calimero","song","","  36.267","Apr 2019","Jun 2019","","","","136","","",""
"Vegedream & Damso","Personne","song",""," 110.313","Jul 2019","Aug 2019","","","","36","","",""
"Vegedream & Ninho","Elle est bonne sa mere","song","","1798.283","Jun 2019","Aug 2020","","","","2","","",""
"Velvet Revolver","Contraband","album","453","32147.412","Jun 2004","Jul 2005","1","11","7","34","1","2",""
"Velvet Revolver","Fall To Pieces","song","","4036.287","Sep 2004","Feb 2005","67","32","89","","","",""
"Velvet Revolver","Libertad","album","","5484.381","Jul 2007","Oct 2007","5","6","36","66","2","10",""
"Velvet Revolver","Melody And The Tyranny","song","","  53.596","Jun 2007","Jul 2007","","","","","","",""
"Velvet Revolver","She Builds Quick Machines","song","","  47.268","Jul 2007","Aug 2018","","","","","43","",""
"Velvet Revolver","Slither","song","","4687.006","May 2004","Oct 2004","56","35","","81","","26",""
"Vertical Horizon","Best I Ever Had (Grey Sky Morning)","song","","3424.315","Mar 2001","Jun 2001","58","","","","","",""
"Vertical Horizon","Burning The Days","album","","  64.198","Oct 2009","Oct 2009","158","","","","","",""
"Vertical Horizon","Echoes From The Underground","album","","  66.190","Oct 2013","Nov 2013","164","","","","","",""
"Vertical Horizon","Everything You Want","album","596","26893.636","Jan 2000","Jun 2001","40","","","","","",""
"Vertical Horizon","Everything You Want","song","90","20351.663","Jan 2000","Nov 2000","1","42","","","","24",""
"Vertical Horizon","Go","album",""," 750.288","Oct 2003","Oct 2003","61","","","","","",""
"Vertical Horizon","You're A God","song","1139","7113.278","Aug 2000","Jan 2001","23","","","","","",""
"Veysel & Kontra K","Schiessen","song","","  42.164","Jun 2021","Jun 2021","","","70","","","",""
"Vianney","Beau-papa","song","","1267.096","Aug 2020","Jun 2021","","","","13","","",""
"Vianney","Dabali","song","","  13.549","May 2021","Jun 2021","","","","141","","",""
"Vianney","Dumbo","song",""," 646.713","Jul 2017","May 2018","","","","30","","",""
"Vianney","Idees blanches","album","","1739.108","Nov 2014","Jun 2018","","","","31","","",""
"Vianney","Idees blanches - Les acoustiques","album","","2771.074","Dec 2015","Aug 2017","","","","20","","",""
"Vianney","J'm'en fous","song","","   8.389","Jan 2017","Feb 2017","","","","153","","",""
"Vianney","Je m'en vais","song","","1977.656","Oct 2016","Aug 2018","","","","2","","",""
"Vianney","Je te deteste","song","","  94.564","Jul 2014","Feb 2017","","","","113","","",""
"Vianney","Le concert","album","","1766.645","Nov 2018","Jun 2021","","","","11","","",""
"Vianney","Le fils a papa","song","","  53.710","Mar 2018","Jun 2018","","","","124","","",""
"Vianney","Merci pour ca","song","","   7.007","Oct 2020","Nov 2020","","","","190","","",""
"Vianney","Moi aimer toi","song",""," 661.520","Mar 2017","Jan 2018","","","","24","","",""
"Vianney","N'attendons pas","album","","4304.656","Oct 2020","Jun 2021","","","","1","","",""
"Vianney","N'attendons pas","song","","  83.204","May 2020","Nov 2020","","","","146","","",""
"Vianney","On est bien comme ca","song","","  98.573","Feb 2016","May 2016","","","","110","","",""
"Vianney","Pas la","song","","1123.767","Jan 2015","May 2017","","","","18","","",""
"Vianney","Pour de vrai","song",""," 150.870","Apr 2021","Jun 2021","","","","107","","",""
"Vianney","Quand j'etais chanteur","song","","   8.613","Nov 2016","Dec 2016","","","","142","","",""
"Vianney","Sans le dire","song","","   5.767","Dec 2016","Dec 2016","","","","185","","",""
"Vianney","Veronica","song","","   5.269","Aug 2015","Sep 2015","","","","185","","",""
"Vianney","Vianney","album","","7316.781","Dec 2016","Nov 2018","","","","1","","",""
"Victoria Conrady mit Mark Forster","Maniac","song","","  19.025","Mar 2015","Mar 2015","","","99","","","",""
"Ville Valo & Natalia Avelon","Summer Wine","song","1897","4963.037","Feb 2007","Apr 2010","","","2","","","",""
"Vince Gill","Feels Like Love","song","1977","4784.083","Sep 2000","Jan 2001","52","","","","","",""
"Vince Guaraldi Trio","A Charlie Brown Christmas (Soundtrack)","album","856","20620.658","Dec 2009","Jan 2021","10","","","","10","",""
"Violator & Busta Rhymes","What It Is","song","","3251.539","Jun 2001","Dec 2001","63","","70","","","",""
"Vitaa & Jul","Ca les derange","song",""," 510.521","May 2016","Dec 2016","","","","11","","",""
"Vitaa & Maitre Gims","Game Over (Flip)","song",""," 884.231","Oct 2013","Jul 2014","","","","1","","",""
"Vitaa & Slimane","Versus","album","1626","11785.980","Aug 2019","Jun 2021","","","99","1","","",""
"Vitaa & Stromae","Comme Dab","song","","  29.204","Apr 2017","May 2017","","","","66","","",""
"Vitamin C","Vitamin C","album","1736","11081.048","Apr 2000","Jan 2001","29","","","","","",""
"Vize & Tokio Hotel","White Lies","song","","1440.759","Jan 2021","Jun 2021","","","13","","","",""
