artist,name,category,position,score,from,to,us,uk,de,fr,ca,au
"311","Don't Tread On Me","album","","2935.585","Sep 2005","Oct 2005","5","","","","","",""
"311","Evolver","album","","4191.335","Aug 2003","Oct 2003","7","","","","","",""
"311","From Chaos","album","","7998.497","Jul 2001","Oct 2002","10","","","","","",""
"311","Greatest Hits '93-'03","album","","7341.699","Jun 2004","Oct 2004","7","","","","","",""
"311","Love Song","song","","3905.718","May 2004","Sep 2004","59","","","","","",""
"311","Mosaic","album",""," 623.168","Jul 2017","Jul 2017","6","","","","","",""
"311","Soundsystem","album",""," 749.827","Jan 2000","Jan 2000","149","","","","","",""
"311","Stereolithic","album",""," 679.279","Mar 2014","Apr 2014","6","","","","","",""
"311","Universal Pulse","album",""," 829.179","Aug 2011","Sep 2011","7","","","","","",""
"311","Uplifter","album","","1298.017","Jun 2009","Aug 2009","3","","","","","",""
"311","Voyager","album",""," 430.700","Jul 2019","Aug 2019","18","","","","","",""
"3LW","3LW","album","920","19120.392","Dec 2000","Sep 2001","29","75","","","","",""
"3LW","A Girl Can Mack","album","","2253.031","Nov 2002","Dec 2002","15","","","","","",""
"3LW","No More (Baby I'ma Do Right)","song","778","9069.847","Nov 2000","Sep 2001","23","6","","41","","26",""
"3LW","Playas Gon' Play","song","","1656.864","Jun 2001","Nov 2001","81","21","","","","",""
"3LW, P Diddy & Loon","I Do (Wanna Get Close To You)","song","","2857.567","Aug 2002","Nov 2002","58","","","","","41",""
"3OH!3","Don't Trust Me","song","1883","4991.003","Jan 2009","Sep 2009","7","","95","","6","3",""
"3OH!3 & Katy Perry","Starstrukk","song","","2467.624","Sep 2009","Jul 2010","66","3","","","31","4",""
"404Billy & Damso","Rvre","song","","  19.937","Dec 2018","Dec 2018","","","","101","","",""
"42 Dugg & Future","Maybach","song",""," 283.854","Jun 2021","Jun 2021","68","","","","","",""
"42 Dugg & Roddy Ricch","4 Da Gang","song","","1494.352","Apr 2021","Jun 2021","67","","","","68","",""
"4Keus Gang & Ninho","Midi dans le ghetto","song",""," 324.368","Jun 2018","Mar 2019","","","","16","","",""
"5 Seconds of Summer","5 Seconds Of Summer","album","1060","17096.032","Jul 2014","Jan 2016","1","2","6","4","1","1",""
"5 Seconds of Summer","Amnesia","song","","2892.747","Jun 2014","May 2016","16","7","64","54","19","7",""
"5 Seconds of Summer","C A L M","album","","3288.591","Apr 2020","Jun 2020","2","","","","7","",""
"5 Seconds of Summer","Calm","album","","2077.794","Mar 2020","May 2021","","1","7","42","","1",""
"5 Seconds of Summer","Don't Stop","song","","1009.425","May 2014","Sep 2014","47","2","46","63","34","3",""
"5 Seconds of Summer","Easier","song","","2972.095","May 2019","Oct 2019","48","27","","","37","12",""
"5 Seconds of Summer","Everything I Didn't Say","song",""," 180.847","Jun 2014","Aug 2014","24","","","59","18","11",""
"5 Seconds of Summer","Fly Away","song",""," 115.566","Aug 2015","Sep 2015","100","44","","138","","26",""
"5 Seconds of Summer","Girls Talk Boys","song",""," 298.372","Jul 2016","Aug 2016","68","28","80","35","","21",""
"5 Seconds of Summer","Good Girls","song",""," 583.690","May 2014","Jan 2015","34","19","96","97","27","19",""
"5 Seconds of Summer","Hey Everybody!","song",""," 145.763","Oct 2015","Feb 2016","","49","74","","","",""
"5 Seconds of Summer","Jet Black Heart","song",""," 114.341","Sep 2015","Sep 2015","95","60","","152","","34",""
"5 Seconds of Summer","Kiss Me Kiss Me","song",""," 182.332","Jun 2014","Jul 2014","28","","","62","26","14",""
"5 Seconds of Summer","Lie To Me","song","","  63.845","Feb 2019","Feb 2019","","99","","","","38",""
"5 Seconds of Summer","LiveSOS","album","","2047.377","Dec 2014","Sep 2015","13","31","","135","","7",""
"5 Seconds of Summer","Money","song","","  19.908","Sep 2015","Oct 2015","","88","","","","",""
"5 Seconds of Summer","No Shame","song","","  37.196","Feb 2020","Feb 2020","","68","","","","",""
"5 Seconds of Summer","Old Me","song","","  40.571","Apr 2020","May 2020","","","","","","39",""
"5 Seconds of Summer","She Looks So Perfect","album","","5320.628","Apr 2014","Oct 2014","2","","","","1","",""
"5 Seconds of Summer","She Looks So Perfect","song","","3581.467","Mar 2014","Oct 2014","24","1","35","40","25","1",""
"5 Seconds of Summer","She's Kinda Hot","song","","1399.581","Jul 2015","Oct 2015","22","14","76","62","27","6",""
"5 Seconds of Summer","Sounds Good Feels Good","album","","5926.698","Oct 2015","Sep 2016","1","1","3","12","1","1",""
"5 Seconds of Summer","Teeth","song",""," 628.346","Aug 2019","Jan 2020","","46","","","63","15",""
"5 Seconds of Summer","Try Hard","song","","  20.668","Jun 2014","Jun 2014","","80","","","","",""
"5 Seconds of Summer","Want You Back","song",""," 447.484","Mar 2018","Apr 2018","61","22","82","82","57","32",""
"5 Seconds of Summer","Wildflower","song","","  32.962","Apr 2020","Apr 2020","","81","","","","",""
"5 Seconds of Summer","Youngblood","album","1068","16898.864","Jun 2018","Sep 2019","1","3","6","43","3","1",""
"5 Seconds of Summer","Youngblood","song","317","14181.236","Apr 2018","Oct 2019","7","4","45","194","3","1",""
"50 Cent","9 Shots","song","","   5.648","Aug 2015","Aug 2015","","","","178","","",""
"50 Cent","After Curtis","album",""," 116.356","Nov 2007","Dec 2007","","","","112","","",""
"50 Cent","Animal Ambition: An Untamed Desire To Win","album","","2768.304","Jun 2014","Sep 2014","4","21","35","32","4","16",""
"50 Cent","Before I Self-Destruct","album","","3801.594","Nov 2009","Apr 2010","5","22","36","15","11","19",""
"50 Cent","Best Of","album",""," 755.710","Aug 2018","Jun 2021","","91","","","","",""
"50 Cent","Best Of 50 Cent","album",""," 872.018","Apr 2017","May 2021","135","","","","72","",""
"50 Cent","Curtis","album","1375","13652.949","Sep 2007","Mar 2009","2","2","2","3","2","1",""
"50 Cent","Disco Inferno","song","447","12301.847","Dec 2004","Jul 2005","3","87","","","","",""
"50 Cent","Get Rich Or Die Tryin'","album","27","104099.020","Feb 2003","Apr 2021","1","2","4","12","1","4",""
"50 Cent","Get Up","song","","1267.474","Nov 2008","Feb 2009","44","24","","","31","",""
"50 Cent","Guess Who's Back?","album","","3967.591","Jan 2003","Jul 2003","28","82","","","","",""
"50 Cent","Hustler's Ambition","song","","2011.542","Nov 2005","Apr 2006","65","13","22","","","23",""
"50 Cent","I Get It In","song",""," 180.797","Feb 2009","Mar 2009","53","75","","","","",""
"50 Cent","I Get Money","song","","2142.700","Sep 2007","Dec 2007","20","","","","","",""
"50 Cent","If I Can't","song","","2146.392","Oct 2003","Jun 2004","76","","34","","","22",""
"50 Cent","In Da Club","song","36","23221.852","Jan 2003","May 2013","1","3","1","16","","1",""
"50 Cent","Just A Lil Bit","song","388","13132.854","Mar 2005","Nov 2005","3","10","11","38","","13",""
"50 Cent","My Last Piece","album",""," 105.888","Feb 2009","Mar 2009","","","","109","","",""
"50 Cent","Opus Curtis","album","","  81.866","Mar 2008","Mar 2008","","","","112","","",""
"50 Cent","Outlaw","song","","  61.770","Aug 2011","Aug 2011","87","","","","","",""
"50 Cent","Piggy Bank","song",""," 161.345","Mar 2005","Apr 2005","88","","","","","",""
"50 Cent","Pilot","song","","  18.084","Mar 2014","Apr 2014","","95","","","","",""
"50 Cent","PIMP","song","309","14245.635","May 2003","Apr 2014","3","5","5","25","","2",""
"50 Cent","Straight To The Bank","song","","1278.775","May 2007","Nov 2007","32","","33","38","","",""
"50 Cent","The Invitation","song","","  60.744","Dec 2009","Dec 2009","97","","","","","",""
"50 Cent","The Massacre","album","178","57275.579","Feb 2005","Sep 2007","1","1","1","3","1","2",""
"50 Cent","The New Breed","album","","7679.179","May 2003","Aug 2003","2","","","","","",""
"50 Cent","Wanksta","song","1325","6403.394","Nov 2002","Apr 2003","13","","","","","",""
"50 Cent","Window Shopper","song","1605","5565.761","Nov 2005","Apr 2006","20","11","20","23","","13",""
"50 Cent & Akon","Still Will","song",""," 676.011","Dec 2007","May 2008","95","","","28","","",""
"50 Cent & G-Unit","If I Can't/Them Thangs","song",""," 703.531","Feb 2004","Apr 2004","","10","","","","",""
"50 Cent & Justin Timberlake & Timbaland","Ayo Technology","song","519","11217.930","Aug 2007","Aug 2018","5","2","3","5","12","10",""
"50 Cent & Kendrick Lamar","We Up","song","","   9.170","Apr 2013","Apr 2013","","","","135","","",""
"50 Cent & Mobb Deep","Outta Control","song","960","7935.937","Jul 2005","Feb 2006","6","7","8","","","16",""
"50 Cent & Nate Dogg","21 Questions","song","350","13659.083","Mar 2003","Nov 2003","1","6","35","58","","4",""
"50 Cent & Ne-Yo","Baby By Me","song","","2022.612","Nov 2009","Feb 2010","28","17","26","","","24",""
"50 Cent & Olivia","Best Friend","song","","2827.241","Mar 2006","Jun 2006","35","","","","","",""
"50 Cent & Olivia","Candy Shop","song","165","17728.157","Feb 2005","Apr 2006","1","4","1","8","","3",""
"50 Cent, Dr. Dre & Alicia Keys","New Day","song",""," 293.978","Aug 2012","Oct 2012","79","","53","109","43","44",""
"50 Cent, Eminem & Adam Levine","My Life","song",""," 938.387","Dec 2012","Mar 2013","27","2","52","61","14","28",""
"504 Boyz","Goodfellas","album","1312","14225.142","May 2000","Nov 2000","2","","","","","",""
"504 Boyz","Wobble Wobble","song","1792","5173.382","Apr 2000","Aug 2000","17","","","","","",""
"6ix9ine","Billy","song","","1028.514","Mar 2018","May 2018","50","","","","38","",""
"6ix9ine","Day69","album","1768","10898.816","Mar 2018","Dec 2018","4","20","44","131","5","11",""
"6ix9ine","Day69: Graduation Day","album",""," 654.255","Aug 2018","Jan 2019","","","82","69","","",""
"6ix9ine","Dummy Boy","album","1812","10762.087","Nov 2018","Jun 2020","2","30","","38","2","",""
"6ix9ine","Gooba","song","","3393.828","May 2020","Aug 2020","3","6","","7","2","14",""
"6ix9ine","Gotti","song",""," 147.837","Apr 2018","May 2018","99","95","","","75","",""
"6ix9ine","Gummo","song","","3765.754","Dec 2017","Apr 2018","12","","","","32","",""
"6ix9ine","Kooda","song","","1025.896","Dec 2017","Mar 2018","50","","","","58","",""
"6ix9ine","TattleTales","album","","1807.181","Sep 2020","Oct 2020","4","27","39","43","5","39",""
"6ix9ine","Tutu","song","","   7.151","Sep 2020","Sep 2020","","","","","100","",""
"6ix9ine","YaYa","song",""," 141.854","Jul 2020","Jul 2020","99","87","","","95","",""
"6ix9ine","ZaZa","song",""," 117.913","Mar 2021","Mar 2021","90","","","","91","",""
"6ix9ine & A Boogie Wit Da Hoodie","WAKA","song",""," 397.746","Dec 2018","Jan 2019","51","","","136","21","",""
"6ix9ine & Anuel AA","Bebe","song","","1039.808","Sep 2018","Mar 2019","30","67","77","73","25","",""
"6ix9ine & Anuel AA","Mala","song",""," 206.063","Dec 2018","May 2019","","","","132","","",""
"6ix9ine & Bobby Shmurda","Stoopid","song","","1370.923","Oct 2018","Dec 2018","25","34","57","160","22","",""
"6ix9ine & DJ Spinking","TATI","song",""," 723.759","Jun 2018","Dec 2018","46","100","","","36","",""
"6ix9ine & Gunna","FEEFA","song","","   5.935","Dec 2018","Dec 2018","","","","","100","",""
"6ix9ine & Kanye West","KANGA","song","","   7.349","Dec 2018","Dec 2018","","","","","76","",""
